19:19:09 2024/09/18 - 19:19:09 | 200 | 727.2µs | ::1 | GET | 43 | /v1/friend | 
19:19:09 2024/09/18 - 19:19:09 | 200 | 1.1808ms | ::1 | GET | 217 | /v1/friend_request | 
19:19:09 2024/09/18 - 19:19:09 | 200 | 1.5795ms | ::1 | GET | 176 | /v1/refresh_token | 
19:19:09 2024/09/18 - 19:19:09 | 200 | 1.1346ms | ::1 | GET | 176 | /v1/refresh_token | 
19:19:09 2024/09/18 - 19:19:09 | 200 | 1.6406ms | ::1 | GET | 43 | /v1/friend | 
19:19:09 2024/09/18 - 19:19:09 | 200 | 1.2615ms | ::1 | GET | 217 | /v1/friend_request | 
19:19:17 2024/09/18 - 19:19:17 | 200 | 646.4µs | ::1 | GET | 143 | /v1/friend | 
19:19:17 2024/09/18 - 19:19:17 | 200 | 1.6721ms | ::1 | GET | 217 | /v1/friend_request | 
19:19:17 2024/09/18 - 19:19:17 | 200 | 1.1866ms | ::1 | GET | 217 | /v1/friend_request | 
19:19:17 2024/09/18 - 19:19:17 | 200 | 746.7µs | ::1 | GET | 143 | /v1/friend | 
19:31:47 2024/09/18 - 19:31:47 | 200 | 24.1877ms | ::1 | GET | 52 | /v1/friend | 
19:31:47 2024/09/18 - 19:31:47 | 200 | 28.5084ms | ::1 | GET | 52 | /v1/friend_request | 
19:31:47 2024/09/18 - 19:31:47 | 200 | 2.4789ms | ::1 | GET | 176 | /v1/refresh_token | 
19:31:47 2024/09/18 - 19:31:47 | 200 | 1.6955ms | ::1 | GET | 176 | /v1/refresh_token | 
19:31:47 2024/09/18 - 19:31:47 | 200 | 630µs | ::1 | GET | 43 | /v1/friend | 
19:31:47 2024/09/18 - 19:31:47 | 200 | 1.8796ms | ::1 | GET | 217 | /v1/friend_request | 
19:31:52 2024/09/18 - 19:31:52 | 200 | 2.6376ms | ::1 | GET | 217 | /v1/friend_request | 
19:31:52 2024/09/18 - 19:31:52 | 200 | 7.6706ms | ::1 | GET | 164 | /v1/friend | 
19:36:38 2024/09/18 - 19:36:38 | 200 | 10.3923ms | ::1 | GET | 52 | /v1/friend | 
19:36:38 2024/09/18 - 19:36:38 | 200 | 13.1117ms | ::1 | GET | 52 | /v1/friend_request | 
19:36:38 2024/09/18 - 19:36:38 | 200 | 1.9479ms | ::1 | GET | 176 | /v1/refresh_token | 
19:36:38 2024/09/18 - 19:36:38 | 200 | 507.4µs | ::1 | GET | 176 | /v1/refresh_token | 
19:36:38 2024/09/18 - 19:36:38 | 200 | 251.4µs | ::1 | GET | 43 | /v1/friend | 
19:36:38 2024/09/18 - 19:36:38 | 200 | 1.1511ms | ::1 | GET | 217 | /v1/friend_request | 
19:36:54 2024/09/18 - 19:36:54 | 200 | 1.7245ms | ::1 | GET | 217 | /v1/friend_request | 
19:36:54 2024/09/18 - 19:36:54 | 200 | 5.3104ms | ::1 | GET | 164 | /v1/friend | 
19:39:18 2024/09/18 - 19:39:18 | 200 | 26.8064ms | ::1 | GET | 52 | /v1/friend | 
19:39:18 2024/09/18 - 19:39:18 | 200 | 30.7607ms | ::1 | GET | 52 | /v1/friend_request | 
19:39:18 2024/09/18 - 19:39:18 | 200 | 2.0119ms | ::1 | GET | 176 | /v1/refresh_token | 
19:39:18 2024/09/18 - 19:39:18 | 200 | 1.8128ms | ::1 | GET | 176 | /v1/refresh_token | 
19:39:18 2024/09/18 - 19:39:18 | 200 | 705.4µs | ::1 | GET | 43 | /v1/friend | 
19:39:18 2024/09/18 - 19:39:18 | 200 | 1.7322ms | ::1 | GET | 217 | /v1/friend_request | 
19:40:41 2024/09/18 - 19:40:41 | 200 | 1.0805ms | ::1 | GET | 52 | /v1/friend_request | 
19:40:41 2024/09/18 - 19:40:41 | 200 | 1.0805ms | ::1 | GET | 52 | /v1/friend | 
19:40:41 2024/09/18 - 19:40:41 | 200 | 1.2344ms | ::1 | GET | 176 | /v1/refresh_token | 
19:40:41 2024/09/18 - 19:40:41 | 200 | 1.1059ms | ::1 | GET | 176 | /v1/refresh_token | 
19:40:41 2024/09/18 - 19:40:41 | 200 | 707.8µs | ::1 | GET | 43 | /v1/friend | 
19:40:41 2024/09/18 - 19:40:41 | 200 | 1.1165ms | ::1 | GET | 217 | /v1/friend_request | 
19:40:43 2024/09/18 - 19:40:43 | 200 | 606.1µs | ::1 | GET | 217 | /v1/friend_request | 
